stock,date,price
AMZN,2000-03-07,3.175
AMZN,2000-01-03,4.469
AMZN,2000-01-04,4.097
AMZN,2000-01-05,3.488
AMZN,2000-01-06,3.278
AMZN,2000-01-07,3.478
AMZN,2000-01-10,3.459
AMZN,2000-01-11,3.338
AMZN,2000-01-12,3.178
AMZN,2000-01-13,3.297
AMZN,2000-01-14,3.213
AMZN,2000-01-18,3.206
AMZN,2000-01-19,3.341
AMZN,2000-01-20,3.238
AMZN,2000-01-21,3.103
AMZN,2000-01-24,3.506
AMZN,2000-01-25,3.463
AMZN,2000-01-26,3.241
AMZN,2000-01-27,3.347
AMZN,2000-01-28,3.084
AMZN,2000-01-31,3.228
AMZN,2000-02-01,3.372
AMZN,2000-02-02,3.472
AMZN,2000-02-03,4.209
AMZN,2000-02-04,3.928
AMZN,2000-02-07,3.75
AMZN,2000-02-08,4.156
AMZN,2000-02-09,4.013
AMZN,2000-02-10,3.809
AMZN,2000-02-11,3.809
AMZN,2000-02-14,3.722
AMZN,2000-02-15,3.691
AMZN,2000-02-16,3.534
AMZN,2000-02-17,3.45
AMZN,2000-02-18,3.238
AMZN,2000-02-22,3.178
AMZN,2000-02-23,3.522
AMZN,2000-02-24,3.422
AMZN,2000-02-25,3.456
AMZN,2000-02-28,3.288
AMZN,2000-02-29,3.444
AMZN,2000-03-01,3.294
AMZN,2000-03-02,3.128
AMZN,2000-03-03,3.125
AMZN,2000-03-06,3.197
AMZN,2000-03-08,3.181
AMZN,2000-03-09,3.441
AMZN,2000-03-10,3.344
AMZN,2000-03-13,3.266
AMZN,2000-03-14,3.281
AMZN,2000-03-15,3.188
AMZN,2000-03-16,3.313
AMZN,2000-03-17,3.241
AMZN,2000-03-20,3.209
AMZN,2000-03-21,3.619
AMZN,2000-03-22,3.534
AMZN,2000-03-23,3.384
AMZN,2000-03-24,3.634
AMZN,2000-03-27,3.656
AMZN,2000-03-28,3.506
AMZN,2000-03-29,3.313
AMZN,2000-03-30,3.325
AMZN,2000-03-31,3.35
